"taxon","lfc_Case_statusPD","se_Case_statusPD","W_Case_statusPD","p_Case_statusPD","q_Case_statusPD"
"COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I",-0.370338507779889,0.059211403082398,-6.25451329475388,3.98757494977379e-10,9.46384454746313e-09
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)",-0.335582447117104,0.053752872079878,-6.24306077298381,4.29090083208623e-10,9.54725435139186e-09
"PWY-7237: myo-, chiro- and scyllo-inositol degradation",-0.519574213155225,0.0834163207019908,-6.22868772900487,4.70358242480748e-10,9.84985496018508e-09
"PWY-6305: superpathway of putrescine biosynthesis",-0.427350400401904,0.0697414249696923,-6.12764079007016,8.91916664294013e-10,1.68280155423027e-08
"PWY-7242: D-fructuronate degradation",-0.425410185476117,0.0694373019338387,-6.12653679835454,8.98124425010538e-10,1.68280155423027e-08
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",-0.408230095031522,0.0667887492517351,-6.11225842084348,9.82309432407662e-10,1.74851078968564e-08
"GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)",-0.347974262595311,0.0570797999098281,-6.09627684653806,1.08567326667454e-09,1.7568167406188e-08
"THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)",-0.35346497310515,0.0579661144849526,-6.09778620226315,1.0754745275143e-09,1.7568167406188e-08
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",-0.317012354158509,0.0527326841802838,-6.01168628311617,1.83603370115976e-09,2.84186085918641e-08
"PWY-6897: thiamine diphosphate salvage II",-0.326690923887733,0.0544464435337996,-6.00022522471881,1.97044026049085e-09,2.9228197197281e-08
"PWY-5659: GDP-mannose biosynthesis",-0.355023889962931,0.059513150317367,-5.96546961586956,2.43931439093594e-09,3.47358369269278e-08
"PANTO-PWY: phosphopantothenate biosynthesis I",-0.317057704449138,0.0536382993074512,-5.9110320152357,3.39970941356189e-09,4.65498673549243e-08
"TEICHOICACID-PWY: poly(glycerol phosphate) wall teichoic acid biosynthesis",-0.398851971967253,0.0678264587045167,-5.88047761279763,4.09084337161784e-09,5.39385274183685e-08
"PWY-7456: &beta;-(1,4)-mannan degradation",-0.430435319383109,0.073782973957609,-5.83380279074153,5.41781520184086e-09,6.88836504234052e-08
"PWY0-1296: purine ribonucleosides degradation",-0.322339834031544,0.0557705067674169,-5.77975443859274,7.48097359008332e-09,9.18353999334366e-08
"GLUTORN-PWY: L-ornithine biosynthesis I",-0.313695370985332,0.0545580884934445,-5.74975003061232,8.93754899481846e-09,1.06058914738512e-07
"PWY-1042: glycolysis IV",-0.297559217014661,0.0521711050205164,-5.7035252923557,1.17354615463839e-08,1.3476852614557e-07
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",-0.398377134920217,0.0704174367144934,-5.65736490147223,1.53714725824281e-08,1.71007632479513e-07
"PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)",-0.353848125075141,0.0626157360957677,-5.65110541116929,1.59419286751024e-08,1.71979594192014e-07
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",-0.292355102512324,0.0521257702519389,-5.60864810436926,2.03913156207119e-08,2.13509069440395e-07
"PWY-6609: adenine and adenosine salvage III",-0.290671194879516,0.0520341165866414,-5.58616565336558,2.32137818980082e-08,2.36117324448312e-07
"PWY-6700: queuosine biosynthesis I (de novo)",-0.290505596382721,0.0527168505014624,-5.51067815355665,3.57453807098812e-08,3.53482098131048e-07
"PWY-6737: starch degradation V",-0.291407526011408,0.0531227576789917,-5.48554967293519,4.12185709551833e-08,3.96589493514736e-07
"GALACTUROCAT-PWY: D-galacturonate degradation I",-0.355000453257233,0.0655441604241527,-5.41620261759302,6.08781106448845e-08,5.70331773409971e-07
"ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis",-0.309151850212064,0.0572198677616023,-5.40287599929622,6.55807973572013e-08,5.98634970747786e-07
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",-0.280870530480333,0.0522804618156579,-5.37238044053033,7.77039499639508e-08,6.91565154679162e-07
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)",-0.281661615664544,0.0525186303129981,-5.36307999629675,8.18147503845151e-08,6.93477408021128e-07
"VALSYN-PWY: L-valine biosynthesis",-0.281661615664544,0.0525186303129981,-5.36307999629675,8.18147503845151e-08,6.93477408021128e-07
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",-0.323215671235741,0.0604498901519155,-5.34683637014845,8.95048633250403e-08,7.26576964332574e-07
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",-0.281615574212866,0.0526754759276642,-5.34623692056604,8.98016472770597e-08,7.26576964332574e-07
"CALVIN-PWY: Calvin-Benson-Bassham cycle",-0.282893048411973,0.052958101270049,-5.3418276265121,9.20141308157646e-08,7.27934012675827e-07
"PWY-4242",-0.279519874693144,0.0524262988061821,-5.33167286377621,9.73121261927587e-08,7.53111237491785e-07
"ARO-PWY: chorismate biosynthesis I",-0.277734541550147,0.052381125158951,-5.30218739493202,1.14423294457079e-07,8.66695592057876e-07
"TRPSYN-PWY: L-tryptophan biosynthesis",-0.29496879215774,0.0556958874118621,-5.29606055069189,1.18327615632833e-07,8.77596482610179e-07
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",-0.272193490555612,0.0516685634671548,-5.26806770481711,1.37867262129552e-07,1.00164786363511e-06
"COA-PWY: coenzyme A biosynthesis I (prokaryotic)",-0.273864381529986,0.0522716992787336,-5.23924772503821,1.61232486918107e-07,1.12546598711463e-06
"PWY-5097: L-lysine biosynthesis VI",-0.271386778842548,0.0517873204713144,-5.24040974456039,1.60220437332244e-07,1.12546598711463e-06
"PWY-5695: inosine 5'-phosphate degradation",-0.275980245771772,0.0530284888178342,-5.20437696649873,1.94648530792986e-07,1.33055544796266e-06
"RHAMCAT-PWY: L-rhamnose degradation I",-0.312239116420947,0.0600330230470483,-5.20112265837826,1.98088311073093e-07,1.33055544796266e-06
"PWY-7219: adenosine ribonucleotides de novo biosynthesis",-0.268377279761011,0.0518813291518497,-5.17290678840373,2.30480006300268e-07,1.51946078227584e-06
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",-0.267053370568365,0.0517027301272395,-5.1651696131162,2.40220989590911e-07,1.55488495080663e-06
"PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)",-0.270644939566395,0.0525393918183158,-5.15127659837214,2.58719283559814e-07,1.64471544548739e-06
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",-0.315419504093211,0.0613061412746603,-5.14499033106792,2.67534589951037e-07,1.67091778986963e-06
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",-0.266230725803537,0.0517997347289836,-5.1396156215173,2.7530104958714e-07,1.68977885608659e-06
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",-0.271962324114916,0.0529937702604436,-5.13196782901704,2.86728515734112e-07,1.73009070510752e-06
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",-0.265508673047825,0.0518423119719455,-5.12146667362184,3.03168324768141e-07,1.79381110547189e-06
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",-0.264971061396785,0.051763552400818,-5.11887320532116,3.07366509645464e-07,1.79381110547189e-06
"PWY-5686: UMP biosynthesis I",-0.264354017195589,0.051744128159934,-5.10886986787191,3.24091462832968e-07,1.86091227046027e-06
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",-0.264623887477526,0.0519900728709248,-5.08989260573851,3.58266360948625e-07,1.99285663277673e-06
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",-0.264623887477526,0.0519900728709248,-5.08989260573851,3.58266360948625e-07,1.99285663277673e-06
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",-0.26120572858335,0.0515330763638111,-5.06870047383356,4.00540964674399e-07,2.19373205267825e-06
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",-0.261158561116692,0.0516705075620914,-5.05430609139774,4.31958368978542e-07,2.32995726297516e-06
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",-0.343758599417104,0.0680934993385046,-5.04833211329352,4.45683882176787e-07,2.36811137395427e-06
"1CMET2-PWY: folate transformations III (E. coli)",-0.259716771148408,0.0517649863817142,-5.01722861923039,5.24221734483975e-07,2.72714969894141e-06
"PWY-6151: S-adenosyl-L-methionine salvage I",-0.26983355482966,0.0537984473390973,-5.0156383348551,5.28576767491453e-07,2.72714969894141e-06
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis",-0.264893821294658,0.0528747751142154,-5.00983353068561,5.4477137300446e-07,2.77055155413697e-06
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",-0.299548779102191,0.0598860622322987,-5.00197822224875,5.67450019015481e-07,2.84524234886636e-06
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",-0.260221654493847,0.0521089029340404,-4.99380412639346,5.92014412573872e-07,2.92718237328192e-06
"PWY-7199: pyrimidine deoxyribonucleosides salvage",-0.267366083065524,0.0535875202858476,-4.989334860791,6.05875427320798e-07,2.95468016611239e-06
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)",-0.269949265492629,0.0543171244379511,-4.96987401829425,6.69964178813545e-07,3.22307091429219e-06
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",-0.267256101288283,0.0539859498187625,-4.95047511779444,7.40325224725152e-07,3.51407706669539e-06
"ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)",-0.266891290314869,0.054026820283194,-4.93997775393585,7.81314842493932e-07,3.65984320957684e-06
"HSERMETANA-PWY: L-methionine biosynthesis III",-0.267877112546944,0.0545013926011082,-4.91505078608757,8.87594474658322e-07,4.05107221767132e-06
"PWY-6608: guanosine nucleotides degradation III",-0.32567314431074,0.0662577809926417,-4.91524375600366,8.86720617266762e-07,4.05107221767132e-06
"PWY-5103: L-isoleucine biosynthesis III",-0.260550810927588,0.0532680995075,-4.89131043413522,1.00166836344943e-06,4.5138473087088e-06
"PWY-5973: cis-vaccenate biosynthesis",-0.28499566984873,0.0592271753849966,-4.81190716923712,1.49496793917839e-06,6.65260732934385e-06
"PWY-2942: L-lysine biosynthesis III",-0.250222866963408,0.0521905784406787,-4.79440685348636,1.63156850747504e-06,7.17084430445819e-06
"TRNA-CHARGING-PWY: tRNA charging",-0.247056984567559,0.0516286208666936,-4.785271820556,1.70756079508429e-06,7.41331272012203e-06
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",-0.320322440863155,0.0669918639623469,-4.7815125885017,1.7398110611652e-06,7.46232214186519e-06
"PWY-6270: isoprene biosynthesis I",-0.264016455888747,0.0553144966538534,-4.77300656898149,1.81495868837126e-06,7.69196777452581e-06
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",-0.247418477100881,0.0520520234447288,-4.75329220128399,2.00130783470303e-06,8.3819481076974e-06
"PWY-7560: methylerythritol phosphate pathway II",-0.265494587345828,0.0560623942977123,-4.7356983352504,2.18302096977299e-06,9.03669145626957e-06
"PWY-6353: purine nucleotides degradation II (aerobic)",-0.329853434436789,0.0704148979817533,-4.68442678880632,2.80744489253453e-06,1.1481229635874e-05
"PWY490-3: nitrate reduction VI (assimilatory)",-0.542852326717735,0.116106601047977,-4.67546480405039,2.9328857685223e-06,1.17315430740892e-05
"PWY-3001: superpathway of L-isoleucine biosynthesis I",-0.247517202107971,0.0531777675273892,-4.65452412947736,3.2472980907143e-06,1.27997512493466e-05
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)",-0.324472684138835,0.0697345014056681,-4.65297202386624,3.27184652722061e-06,1.27997512493466e-05
"PWY-6123: inosine-5'-phosphate biosynthesis I",-0.242647648978847,0.0525481952775677,-4.61762098007637,3.8816438942387e-06,1.50202741994454e-05
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",-0.323596469696381,0.0703117673879059,-4.60230885551657,4.17832971515998e-06,1.58243125382654e-05
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",-0.323593061221158,0.0703109873491589,-4.60231143696248,4.17827791260172e-06,1.58243125382654e-05
"HISTSYN-PWY: L-histidine biosynthesis",-0.239137774244854,0.0524093521359165,-4.56288361712014,5.04557870173932e-06,1.87106876856166e-05
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I",-0.261103029676447,0.0572150219316189,-4.56353979884001,5.02982695129185e-06,1.87106876856166e-05
"PWY-3841: folate transformations II (plants)",-0.233116025450807,0.0515976018777538,-4.51796240459219,6.24375666441409e-06,2.29152306446538e-05
"PWY-6124: inosine-5'-phosphate biosynthesis II",-0.237741970597316,0.0527816781148494,-4.5042518367833,6.66071818459152e-06,2.419607830321e-05
"THRESYN-PWY: superpathway of L-threonine biosynthesis",-0.241006073026962,0.0538033201036947,-4.47939035290895,7.48565303065551e-06,2.69181058476097e-05
"COLANSYN-PWY: colanic acid building blocks biosynthesis",-0.262115407492245,0.0586045756325936,-4.47260993980249,7.72706503669067e-06,2.75083515306188e-05
"PWY-7663: gondoate biosynthesis (anaerobic)",-0.268848595469978,0.0606447532937814,-4.43317155842971,9.2856919092785e-06,3.27297655416153e-05
"PWY-6703: preQ0 biosynthesis",-0.255108333908089,0.0578847852422403,-4.40717423137175,1.04727943509265e-05,3.65521057738221e-05
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",-0.306889404195195,0.0699142760360766,-4.38950986257565,1.13606426291626e-05,3.92659104464262e-05
"PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)",-0.771816441626315,0.178712107325636,-4.31876974188418,1.56901372697173e-05,5.37085468078786e-05
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",-0.227844516464817,0.0529987086460995,-4.29905788811301,1.71525671361886e-05,5.81553704807919e-05
"POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)",-0.225995630092692,0.0526282162067747,-4.29419133654011,1.7533122053631e-05,5.88848250103078e-05
"PWY-5676: acetyl-CoA fermentation to butanoate II",-0.299266081605665,0.0718665301706056,-4.16419271801812,3.12456118623447e-05,0.000103957362831726
"PWY-5100: pyruvate fermentation to acetate and lactate II",-0.233848944791475,0.0576028385475615,-4.05967745145737,4.91405505334576e-05,0.000160495743026706
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",-0.217427240455628,0.0535559352668509,-4.05981595452048,4.9111411322167e-05,0.000160495743026706
"PWY-6606: guanosine nucleotides degradation II",-0.290957502479052,0.0722406517255305,-4.02761458443799,5.6345609192211e-05,0.000182354880658428
"PWY-5104: L-isoleucine biosynthesis IV",-0.282906803339918,0.0726925773882274,-3.89182518359481,9.94929247632503e-05,0.000319094425366821
"CITRULBIO-PWY: L-citrulline biosynthesis",-0.170369177745105,0.044575874558359,-3.82200415433369,0.000132371459207078,0.000420611432678964
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)",-0.295484010554578,0.0773539685146622,-3.81989465089396,0.000133508685091918,0.000420611432678964
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",-0.212019356169496,0.0557725193803579,-3.8015022187462,0.000143821450668227,0.000449126635420078
"PWY-4984: urea cycle",-0.169496838849224,0.0455156297198352,-3.7239260423845,0.000196148408859007,0.00060720724829397
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",-0.267554268213831,0.0738299221047303,-3.62392727212005,0.000290163228418353,0.000878196476540577
"PWY-5005: biotin biosynthesis II",-0.450088621006592,0.124227319361742,-3.6231049926785,0.000291087596156708,0.000878196476540577
"PWY-7208: superpathway of pyrimidine nucleobases salvage",-0.210697180825512,0.058537606174909,-3.59934740405943,0.000319016768576312,0.000954369492547624
"PWY-5030: L-histidine degradation III",-0.262288277217889,0.0739146204011704,-3.54853039621016,0.000387387283712841,0.00114258857632898
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",-0.199944545281909,0.0563561333930949,-3.54787550606527,0.00038835173521294,0.00114258857632898
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",-0.148105427269116,0.0419414937097253,-3.5312387368496,0.000413618245750399,0.00120695160235362
"ANAEROFRUCAT-PWY: homolactic fermentation",-0.19104551373437,0.0552738583610552,-3.45634481469411,0.000547554391547406,0.00157201099508771
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II",-0.232585572168639,0.0685915292855236,-3.39087894075759,0.000696688675343511,0.00196842197160548
"HISDEG-PWY: L-histidine degradation I",-0.211716538815937,0.0629045455847472,-3.36567948862622,0.000763553727354189,0.00214035533022119
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",-0.196454238978553,0.058470613909807,-3.35987987541213,0.00077976368959434,0.00216871776168426
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II",-0.20730953883518,0.0618257278627275,-3.35312734684615,0.000799039331506772,0.00220510079082489
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",-0.249898461769786,0.0755162458441746,-3.30920133775511,0.000935625284437807,0.00254261527679282
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",-0.194531422526346,0.058961506515019,-3.29929532035946,0.000969278828037454,0.00261411562713131
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",-0.27322935743918,0.0836703700878153,-3.26554498506957,0.00109253650314445,0.00288105922310684
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",-0.19345312794189,0.0599929330105573,-3.22459860243618,0.0012614940637309,0.00330214622564854
"PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)",-0.220827968888621,0.0687217634359846,-3.21336295588989,0.001311903883454,0.00340903490882937
"PWY-6892: thiazole component of thiamine diphosphate biosynthesis I",-0.379143502304326,0.120109290745813,-3.15665424339826,0.00159590457526573,0.00405815734853285
"THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I",-0.382629858215567,0.121429619311648,-3.15104222828495,0.00162688966693301,0.00410760795339114
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",-0.137439182233856,0.0438699464810089,-3.13287781860762,0.00173101482961571,0.00433972731931827
"GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway",-0.208078381665668,0.0691948959205655,-3.00713483122424,0.00263722762772747,0.00643050024295191
"P164-PWY: purine nucleobases degradation I (anaerobic)",-0.202060341041009,0.0674186214831417,-2.99709986048195,0.00272561413573755,0.00660080702260251
"FUCCAT-PWY: fucose degradation",-0.141855541193203,0.0478824057451162,-2.96258174554381,0.0030507079188816,0.00724034679414567
"METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis",-0.135086651300804,0.0459027287548997,-2.94288934372741,0.00325164622105951,0.00766613281256413
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",-0.258490499177811,0.0882222329769889,-2.92999270654635,0.00338969959778617,0.00788714416216912
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",-0.179136751204507,0.0622664974772044,-2.87693636967597,0.00401556558623887,0.00910535890892382
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",-0.179136751204507,0.0622664974772044,-2.87693636967597,0.00401556558623887,0.00910535890892382
"GLUCONEO-PWY: gluconeogenesis I",-0.16719725246797,0.0583266172821205,-2.86656864839688,0.00414948154141928,0.00923259642965791
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",-0.241696379357307,0.0849987161229053,-2.84352976588284,0.00446168416825857,0.00980468866604971
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I",-0.118576175551799,0.0425339063152181,-2.78780356248103,0.00530667107696404,0.0115193591670683
"PWY-6936: seleno-amino acid biosynthesis (plants)",-0.187801570702443,0.0684978004152188,-2.74171680789793,0.00611190105269806,0.0131074504503645
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",-0.158193847997433,0.0597207663615552,-2.6488917948526,0.00807561830601418,0.0167146518426805
"PENTOSE-P-PWY: pentose phosphate pathway",-0.161343137979072,0.0620056608236393,-2.60207109860461,0.00926626396369824,0.0187431248356624
"OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)",-0.144471618825,0.0589408937912,-2.4511270449477,0.0142409679782423,0.0278559593420563
"PWY0-1261: anhydromuropeptides recycling I",-0.110768789482867,0.0462545872586309,-2.39476333154822,0.0166310963058585,0.0323533895348942
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)",-0.154865355606988,0.066678916389049,-2.32255357455722,0.0202031471893993,0.0374600020803445
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",-0.135905420342394,0.0601364621853481,-2.25995037625454,0.0238243308512119,0.0439453978395411
