"taxon","PD vs IBD"
"Clostridium_sp_AM22_11AC",-0.742525430646946
"Roseburia_hominis",-0.735631176381473
"Oliverpabstia_intestinalis",-0.72460060880398
"Anaerococcus_prevotii",-0.72390959859735
"Anaerostipes_hadrus",-0.681531534641574
"Phocaeicola_vulgatus",-0.676640862093591
"GGB32900_SGB53446",-0.647772127029462
"Blautia_SGB4815",-0.627477516785853
"Intestinimonas_massiliensis",-0.594340829592702
"Lachnospiraceae_bacterium_CLA_AA_H244",-0.589641081968569
"Ruminococcus_torques",-0.589219940619004
"GGB3653_SGB4964",-0.585548813304528
"GGB2980_SGB3962",-0.566280289154264
"Mediterraneibacter_glycyrrhizinilyticus",-0.561701922449866
"GGB9760_SGB15373",-0.526365289455894
"Faecalibacterium_SGB15346",-0.493383428182856
"Peptoniphilus_gorbachii",-0.492293807528356
"Clostridium_fessum",-0.487192293872703
"GGB10524_SGB17049",-0.483427421633629
"Clostridiaceae_bacterium",-0.47913512122234
"GGB38744_SGB14842",-0.47678668509754
"GGB9365_SGB14341",-0.46644718727309
"Faecalicatena_fissicatena",-0.462755493668679
"Corynebacterium_amycolatum",-0.459026452984391
"Bacteroides_cellulosilyticus",-0.451106233357346
"Agathobaculum_butyriciproducens",-0.449070491309454
"Coprococcus_comes",-0.444831156380371
"Clostridium_sp_AF36_4",-0.426074158904249
"GGB3433_SGB4574",-0.407368774476125
"Lachnospira_eligens",-0.359067481014866
"Adlercreutzia_equolifaciens",-0.355758355579704
"Clostridiaceae_bacterium_AF18_31LB",-0.334398633945978
"Bacteroides_caccae",-0.325968193536611
"Eggerthella_lenta",-0.300051019089499
"Anaerotignum_faecicola",-0.275933121074719
"Bacteroides_finegoldii",-0.272641164179974
"GGB9453_SGB14844",-0.272184038613975
"GGB36331_SGB15121",-0.270496958476344
"Parabacteroides_merdae",-0.244392073477832
"Porphyromonas_uenonis",-0.242426007835151
"GGB9635_SGB15106",-0.237183733425577
"Bacteroides_intestinalis",-0.213265940670988
"Anaerococcus_mediterraneensis",-0.193738958223388
"Anaerobutyricum_hallii",-0.193079241789294
"Anaerococcus_SGB6678",-0.170208489249726
"Dorea_formicigenerans",-0.162290385508981
"Ruminococcus_bicirculans",-0.157263106728217
"Brotolimicola_acetigignens",-0.141441474782721
"Lachnospira_pectinoschiza",-0.126599758233538
"Clostridiales_bacterium",-0.11358249181073
"Dialister_invisus",-0.0998177409471569
"Lawsonibacter_hominis",-0.0995080764317549
"GGB9524_SGB14924",-0.066238209366153
"Barnesiella_intestinihominis",-0.050627558129466
"GGB9699_SGB15216",-0.0342909419345612
"Prevotella_bergensis",-0.0206727071078297
"GGB9715_SGB15260",-0.0107215793820552
"GGB9342_SGB14306",-0.00824465042451417
"Alistipes_communis",-0.000209553079779656
