"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","q_diagnosis2IBD","diff_diagnosis2IBD"
"PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III",-0.276263772934038,0.101877486557409,0.0150150861026026,TRUE
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",-0.867620840729866,0.20779028409315,0.000104082770834571,TRUE
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)",-0.400661583891844,0.176137871677145,0.0435422026842512,TRUE
"PWY-6606: guanosine nucleotides degradation II",-0.692204413909155,0.15543280976167,4.14154061756609e-05,TRUE
"PWY-6737: starch degradation V",-0.440541770132971,0.145243112508495,0.00588068988406968,TRUE
"PWY-6936: seleno-amino acid biosynthesis",-0.621186844734044,0.163242495378192,0.000438313145848153,TRUE
"PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",-0.931695672671887,0.238719990093413,0.000300494905151454,TRUE
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",-0.334487540969194,0.142602041498543,0.0374828555946078,TRUE
"PWY-7196: superpathway of pyrimidine ribonucleosides salvage",-1.32443845583359,0.227240864217524,4.11447948382927e-07,TRUE
"PWY-7199: pyrimidine deoxyribonucleosides salvage",-0.417948565871281,0.138965177341651,0.00629443989343681,TRUE
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis",-0.721642285028353,0.194316303094025,0.000600132085653363,TRUE
"PWY-7234: inosine-5'-phosphate biosynthesis III",-1.14458194966344,0.196043792663744,4.11447948382927e-07,TRUE
"PWY-7242: D-fructuronate degradation",-0.60555332953526,0.180254159824944,0.00208740391124217,TRUE
"PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)",-0.336354750527065,0.144376041125598,0.0388497893566362,TRUE
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",-0.509004621817233,0.168305960009714,0.00600589763575424,TRUE
"PWY-7456: mannan degradation",-1.63269213870621,0.284535697520517,4.69169345624584e-07,TRUE
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",-0.456927589348661,0.186822761270908,0.0298685332009661,TRUE
"PWY0-781: aspartate superpathway",-0.760136853340197,0.221690714162016,0.00163512144308744,TRUE
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)",-0.446346138148282,0.185175469300264,0.0323100542850957,TRUE
"PWY66-422: D-galactose degradation V (Leloir pathway)",-0.555122779196558,0.109421190635914,5.74837284715392e-06,TRUE
"PYRIDNUCSYN-PWY: NAD biosynthesis I (from aspartate)",-0.595076327268586,0.126851815090859,2.04836203440562e-05,TRUE
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",-0.497327068069128,0.134002149778938,0.000600132085653363,TRUE
"TCA: TCA cycle I (prokaryotic)",-0.953784645173763,0.239168959968718,0.000222696714072376,TRUE
"TRNA-CHARGING-PWY: tRNA charging",-0.396836472814169,0.10993475523774,0.00085819366232416,TRUE
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",-0.560802722769348,0.21133481082352,0.0172147714173398,TRUE
