"taxon","lfc_diagnosis2IBD","se_diagnosis2IBD","W_diagnosis2IBD","p_diagnosis2IBD","q_diagnosis2IBD"
"PWY-5173: superpathway of acetyl-CoA biosynthesis",0.69211161460717,0.17810142859792,3.88605313306989,0.000101887215487668,0.000318668525035899
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.507465874076083,0.133703070384621,3.79546911388248,0.000147364541258075,0.000451303907602854
"PWY-5505: L-glutamate and L-glutamine biosynthesis",0.781470681766141,0.207821237576669,3.76030231981388,0.000169708137309435,0.000509124411928304
"GLYOXYLATE-BYPASS: glyoxylate cycle",0.845180351670388,0.226024184876502,3.73933591280149,0.000184507038424399,0.000547929992896699
"PWY66-409: superpathway of purine nucleotide salvage",0.894437361467063,0.245489919631314,3.64347897791633,0.00026897763000227,0.000775288462947719
"PWY-6895: superpathway of thiamin diphosphate biosynthesis II",0.970643214402828,0.266622706960441,3.64051218843429,0.000272096225987612,0.000776663013984058
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",0.829104171892767,0.229674664651708,3.60990696623011,0.000306306847304612,0.00085819366232416
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.480603189711164,0.13518873948103,3.55505341314765,0.00037790231180884,0.00104814414784716
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",0.633100468088198,0.183584349674628,3.44855358972734,0.000563597620585239,0.00153423796714871
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",0.710244687748089,0.213824511299661,3.32162427698819,0.000894951171785128,0.00234924682593596
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation",0.76309246260856,0.230368192345357,3.31249056060902,0.000924692464271328,0.00240583703093602
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",0.480876272571897,0.146888825026395,3.2737430671495,0.00106133066277478,0.00271331491178944
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",0.480877378245327,0.146888789118816,3.27375139471232,0.00106129938761093,0.00271331491178944
"PWY-5918: superpathay of heme biosynthesis from glutamate",0.709641758001832,0.217643175190128,3.26057436619323,0.00111186806306606,0.0028180104357019
"COLANSYN-PWY: colanic acid building blocks biosynthesis",0.524868342479098,0.161627801454582,3.24738898726273,0.00116469089736654,0.00291906268603548
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",0.288325301003545,0.0888328388362839,3.24570625886357,0.00117159658827274,0.00291906268603548
"PYRIDNUCSAL-PWY: NAD salvage pathway I",0.781721482513278,0.243189927719241,3.21444843478783,0.0013069538677689,0.00322894484978199
"PWY-4984: urea cycle",0.5594048480497,0.182910434119026,3.05835394653142,0.00222556537271409,0.00545263516314952
"REDCITCYC: TCA cycle VIII (helicobacter)",0.589600724891998,0.199605925004385,2.95382376489598,0.00313863187323843,0.00744159492525886
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",0.553239058968645,0.194220620700359,2.84850834568269,0.00439247013080622,0.0102490969718812
"PWYG-321: mycolate biosynthesis",0.630627772552048,0.222675096033298,2.83205344372119,0.00462501176917941,0.0107067201585728
"PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0.632256549941228,0.226912676061709,2.78634301491948,0.00533064309361394,0.0122438208556445
"CITRULBIO-PWY: L-citrulline biosynthesis",0.502050694304258,0.183989684882174,2.72868935356767,0.00635865725490971,0.0143803479457189
"PWY-6892: thiazole biosynthesis I (E. coli)",0.64732863052285,0.240154244368715,2.69547028920708,0.00702893459590449,0.0154216923223576
"PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)",0.592428389181373,0.22289674499148,2.65786020878869,0.00786385039663734,0.0171257186415658
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",0.574546119793535,0.21721902284766,2.64500830664576,0.0081688911670694,0.0175303211906453
"PWY66-400: glycolysis VI (metazoan)",0.48649451408104,0.185798268430185,2.61840176548171,0.00883427236046427,0.0188208411157717
"RHAMCAT-PWY: L-rhamnose degradation I",0.360509737391699,0.139571657581493,2.58297238593162,0.00979531627648542,0.0207181509732857
"PWY-4981: L-proline biosynthesis II (from arginine)",0.457415144581354,0.185814226163213,2.46167989408721,0.0138288028088623,0.0288345250057129
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.332210947098601,0.136072639958445,2.44142354554196,0.0146294856494528,0.0298685332009661
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.332210947098601,0.136072639958445,2.44142354554196,0.0146294856494528,0.0298685332009661
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.448490626290481,0.188418007533342,2.38029598211899,0.0172987371247303,0.0348344432511692
"FERMENTATION-PWY: mixed acid fermentation",0.53582824244119,0.227098614228911,2.3594518366417,0.0183019564529497,0.0366039129058994
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0.567523276891202,0.244430262976563,2.321820833395,0.0202425849819705,0.0391534209519693
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",0.587753210653352,0.252903082598821,2.32402549076756,0.0201241278762057,0.0391534209519693
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",0.526199359888285,0.228783411483873,2.29998913153446,0.0214488357939146,0.041215409956934
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",0.537064281814926,0.236158640091537,2.27416740546421,0.0229559231838739,0.0435422026842512
"P441-PWY: superpathway of N-acetylneuraminate degradation",0.400111990687508,0.176289808388218,2.26962632919992,0.0232302647332504,0.0437801143049719
"PWY0-1061: superpathway of L-alanine biosynthesis",0.537742818325558,0.238892894117488,2.25097870873085,0.0243868859266671,0.0453781295091147
