"taxon","lfc_(Intercept)","lfc_Case_statusPD","lfc_total_sequences","lfc_collection_methodswab","se_(Intercept)","se_Case_statusPD","se_total_sequences","se_collection_methodswab","W_(Intercept)","W_Case_statusPD","W_total_sequences","W_collection_methodswab","p_(Intercept)","p_Case_statusPD","p_total_sequences","p_collection_methodswab","q_(Intercept)","q_Case_statusPD","q_total_sequences","q_collection_methodswab","diff_(Intercept)","diff_Case_statusPD","diff_total_sequences","diff_collection_methodswab"
"Bifidobacterium_dentium",-1.20744197603199,2.09821209059135,-0.0157485534293241,2.22573646560898,0.371160075143181,0.45715772803868,0.207675901302392,3.21471028726679,-3.25315694465844,4.58968964517606,-0.0758323586442174,0.692359891472939,0.00114130441867876,4.43905529876579e-06,0.939552471760901,0.488711347153646,0.0445108723284716,0.000425417097653441,0.977015062277539,0.99099372334903,TRUE,TRUE,FALSE,FALSE
"Bifidobacterium_longum",-0.568874564610285,1.15856975390131,-0.228010199173565,1.96532718107634,0.40293828889408,0.495694113430524,0.225728883271032,3.49598670532388,-1.41181560623499,2.33726752549724,-1.01010644215961,0.562166663300931,0.158004262056518,0.0194252779977522,0.312444296111386,0.574002472271161,0.522217476288492,0.111409682634167,0.740090112773586,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bifidobacterium_pseudocatenulatum",-0.442722148497982,0.991060362604155,0.176668400538687,-0.933614820790147,0.427796249887825,0.525840695129958,0.239849448656302,3.71598614102895,-1.03489020442341,1.88471598296366,0.736580390442539,-0.251242815596624,0.300720189781579,0.059468193321298,0.461377563619188,0.801626383844479,0.651560411193422,0.202866375661367,0.779103199183644,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Rothia_dentocariosa",0.0683340283210218,0.222017722746487,-0.168745568045482,1.59554328733338,0.277541796167163,0.343594070376071,0.154507712853102,2.38641926080288,0.246211667088384,0.646162847058112,-1.09214980229445,0.668593031216395,0.805518384478905,0.518173897754746,0.274767262253861,0.503755119178357,0.922454455463012,0.716623475618266,0.740090112773586,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Rothia_mucilaginosa",0.73852541375053,-0.770732592156474,-0.0222385354328103,2.48891574371015,0.322191733561556,0.397773332620894,0.179858012961111,2.78129393438739,2.29219230917801,-1.93761755489787,-0.123644952297003,0.894876917875409,0.0218945485542846,0.0526698991137035,0.901596398765862,0.370852886871255,0.177893207003563,0.197512121676388,0.97133313679195,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Collinsella_aerofaciens",-0.137285039015889,0.522867526246676,0.0760581883277293,2.00402354194566,0.384915660728184,0.473838415592772,0.215490486366541,3.33646723123593,-0.35666264852974,1.10347221550741,0.352953810677085,0.60064235703682,0.721344370995146,0.26982215097002,0.724123068478529,0.548078219679557,0.913525357273929,0.505918764691334,0.935125816909358,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Collinsella_intestinalis",-0.0113227536502801,0.340360792087751,-0.404488943544231,1.37756236081349,0.378831068152144,0.466459914935584,0.212033829837444,3.2826101253628,-0.0298886617338699,0.729667826086949,-1.90766230018263,0.419654576146548,0.976155848436663,0.465593252123129,0.0564348773180968,0.674737812876721,0.991408283568486,0.698248987256357,0.403560515527272,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Collinsella_stercoris",-0.122918031777002,0.510764784009314,-0.444962560254074,0.391985277214078,0.356356040814005,0.439205701552398,0.199265631733794,3.08367161069087,-0.344930400214985,1.16292840052847,-2.23301206727167,0.127116414035494,0.730146695488956,0.244858553438939,0.0255481486052691,0.898848260327891,0.915214481745381,0.477474179205932,0.262204683054077,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Collinsella_massiliensis",-0.431916322535978,0.962997476441588,-0.169438721508874,0.962260131604125,0.299912665078663,0.370746936858806,0.167205464049001,2.5841854497092,-1.44014032359284,2.59745227998561,-1.01335636650737,0.372364967735736,0.14982770273843,0.00939181691432294,0.310889972990328,0.709621133270296,0.512568456736736,0.0829688544171621,0.740090112773586,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Enorma_massiliensis",-0.240064615165239,0.683056044654429,-0.273723223030096,0.487464237893532,0.28278332005038,0.349958045040159,0.15748187802814,2.43273528007859,-0.848934849207052,1.95182266656006,-1.73812521451634,0.200377016720777,0.395917545936727,0.0509592622121735,0.0821887528881825,0.841185732976854,0.728338881676055,0.194844237870075,0.471376670976341,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Adlercreutzia_equolifaciens",0.183941372877191,0.0534827352889494,-0.162662745414485,1.30162158186605,0.357142935455615,0.440159930986417,0.199712669750932,3.09063680831831,0.515035731121303,0.121507505622087,-0.814483856318912,0.421149964422476,0.606528051654834,0.903289070126971,0.41536781681448,0.67364557856478,0.857050507773135,0.931964913623065,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Asaccharobacter_celatus",0.202169882539946,0.0292235322696448,-0.195284616919553,0.868751312009827,0.358484294734885,0.441786530430881,0.200474702380967,3.10250987111117,0.563957432750183,0.066148536129299,-0.974111020493993,0.280015648007812,0.5727831020558,0.947259569196045,0.330001418189532,0.779465499566194,0.843622636073694,0.952142350480561,0.74275165855286,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Eggerthella_lenta",-0.103246744358022,0.477322900174097,-0.0781118118500672,1.21228605796548,0.345357827901666,0.425868512868623,0.193017576508538,2.98632253077311,-0.298955853948154,1.12082223914344,-0.404687558838001,0.405946124530508,0.764973729395224,0.262363535827262,0.685707188312109,0.684782186465924,0.920801711309066,0.505918764691334,0.90961157633239,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Enterorhabdus_caecimuris",0.186707033384228,0.0532747121735479,0.0314885128551906,0.718871284644247,0.291564310467437,0.360616435138474,0.162465814845803,2.51035844443813,0.640363126354177,0.147732346566764,0.193816236880826,0.286362007878578,0.521936549471401,0.88255400285528,0.846319772893193,0.774600870110261,0.820787315700994,0.927496958833008,0.956251818025619,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Gordonibacter_pamelaeae",-0.154356230096973,0.564388616994652,0.00742388232564653,-0.686565695645649,0.280078009315316,0.346673592515339,0.155946732655067,2.40882820568301,-0.551118706085904,1.62801156240269,0.0476052444270644,-0.285020614598365,0.581552302990246,0.103522434108892,0.962030852322084,0.77562834851613,0.846288799127596,0.280614140313104,0.977062584389616,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Slackia_isoflavoniconvertens",0.0958996693239655,0.174827371997232,-0.510577007853982,2.58311831279762,0.301763976976846,0.372993158863117,0.16825665299657,2.6005601704621,0.31779694277864,0.468714687770965,-3.03451304159955,0.993293038222078,0.750638969890772,0.639273586894738,0.00240924338802549,0.320567169233126,0.917280001718331,0.792495920568446,0.106728971967,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_caccae",-0.297527612548814,0.764786988675676,-0.0545484436518919,1.02267896542981,0.442304345595367,0.543436638482008,0.248090197751303,3.84437363629267,-0.672676213814552,1.40731583871851,-0.219873433720158,0.266019659425205,0.501153303342798,0.159333754767806,0.825969726845875,0.79022406834643,0.814374117932047,0.353069115678661,0.956251818025619,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bacteroides_cellulosilyticus",-0.275384665826917,0.75494606602932,0.293051421125934,-2.61153606346565,0.423418290603753,0.520531129715854,0.237362635396622,3.6772420104437,-0.650384435292687,1.45033797775251,1.23461479367323,-0.710188792592017,0.515443928693982,0.146964293452525,0.216973900579493,0.477587069857079,0.820787315700994,0.341167109800504,0.650921701738479,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_dorei",0.0192166852093262,0.308396762745586,0.166341800834217,-0.607772401182276,0.439996828500773,0.540637934623998,0.246779534354893,3.82395424564107,0.0436745993711008,0.570431231319476,0.67405022571686,-0.158938199084123,0.965163786656758,0.568385251994982,0.50027938256634,0.873717564686954,0.98537664082758,0.74385989355048,0.779103199183644,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bacteroides_eggerthii",0.35670653960834,-0.172722839067737,0.0219895947691162,-3.28380106490223,0.397940850752162,0.489633723778776,0.222889956137273,3.45175509074242,0.89638080366496,-0.352759278373921,0.0986567324530913,-0.951342426845216,0.370049416215151,0.724268914731913,0.921410823702625,0.341430576191661,0.698508643277858,0.866019894013358,0.977015062277539,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_faecis",-0.255224469865776,0.69850125582657,-0.461170233817236,1.56603092316615,0.37275769601255,0.459095070201484,0.208583519964833,3.22885169541908,-0.684692690710223,1.52147409363385,-2.21096198728926,0.485011722708712,0.493537862379339,0.128140907635926,0.027038469498025,0.627668030014341,0.81197917486987,0.31629717707602,0.263625077605744,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_faecis_CAG_32",-0.341349635678419,0.823408872908925,-0.421234902085171,1.90196320508089,0.314288380952871,0.388186998385092,0.175369104664063,2.71135988311152,-1.0861032617353,2.12116551129845,-2.4019903784768,0.701479437284521,0.277433309463713,0.0339078765011481,0.0163061373109732,0.483003862804002,0.64270896872997,0.152213721798504,0.18704098680234,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_finegoldii",-0.00157731316087754,0.31845294592209,0.142773439235663,2.74820694592653,0.390817669756843,0.480995575091263,0.218843380799359,3.38870738587242,-0.00403593103110948,0.662070427283385,0.652400080432687,0.810989747118281,0.996779801683977,0.507926087318835,0.514143112477878,0.417371558719905,0.996779801683977,0.716623475618266,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_fragilis",0.263338207938301,-0.0649838596616477,0.142026315632529,1.61969503538575,0.423107016989409,0.520153621850074,0.237185821086397,3.67448726309546,0.622391492847524,-0.124932052631902,0.598797664135221,0.440794842767067,0.533684472947488,0.900577342826218,0.549307820186661,0.659361527452697,0.825940255752065,0.931964913623065,0.807779552122944,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_intestinalis",-0.0631294308321622,0.409178593405643,-0.34241470118688,2.62108811780102,0.383477041795944,0.4720938639729,0.214673210159495,3.3237335239554,-0.164623755666068,0.866731437604815,-1.59505091917374,0.788597551190508,0.86924013200815,0.38608917608203,0.110700849664865,0.43034726265386,0.956770837576938,0.643481960136717,0.516763903386084,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_massiliensis",-0.0947808341516692,0.448503616718256,-0.147898600683553,3.86440544223587,0.402095565319686,0.494672137542911,0.225250154590462,3.48852794147487,-0.235717183491725,0.906668442952987,-0.656597110676591,1.10774673646503,0.813652135075067,0.364582156067677,0.511440007207179,0.267971208968757,0.922454455463012,0.618204525506062,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_nordii",0.271185918253863,-0.0613341456415382,-0.283535086466249,-0.972236390638071,0.261860662492297,0.324543724524625,0.145615056329783,2.24797106106908,1.03561151825101,-0.188985769887793,-1.94715501001565,-0.43249506520591,0.300383416218232,0.850103969804159,0.0515161536069233,0.665381638051205,0.651560411193422,0.906977648960657,0.386371152051925,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_ovatus",0.117244894789239,0.15800697119892,0.241469652112699,0.382683508198252,0.352935922546065,0.435058271707451,0.197322655122766,3.0533985715352,0.332198813720742,0.363185764929369,1.22372999675312,0.125330348866262,0.73973913946111,0.716466120629595,0.221054099810471,0.900262026681984,0.917280001718331,0.862412922980068,0.653114385803665,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bacteroides_plebeius",0.400730016037416,-0.284183808032433,-0.0178070962870585,4.31648893981304,0.353840893879829,0.436155694229713,0.197836770175945,3.06140886462087,1.13251470637962,-0.651565053012376,-0.0900090325535638,1.40996813254724,0.257418105091622,0.514681798326586,0.928280037026601,0.158549092844299,0.64270896872997,0.716623475618266,0.977015062277539,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_salyersiae",-0.353594776870992,0.821675924242324,-0.337301221077704,5.15313794225806,0.369213854175257,0.454797660068092,0.206570239594356,3.19748320398661,-0.95769639430472,1.80668459050406,-1.63286454883368,1.61162314655262,0.338215875487416,0.0708114716873974,0.10249748760234,0.107043970687798,0.690285112266416,0.215753702797539,0.509022421897904,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_stercoris",-0.0595745652573442,0.415456012710949,0.71015525566849,1.00520855279972,0.408083497781414,0.501933791232318,0.22865171284664,3.54152525378941,-0.145986215030079,0.82771078570133,3.10583833738784,0.283834924436627,0.883932270649959,0.407834309416812,0.0018974041789136,0.776536888878634,0.956770837576938,0.66177666518452,0.106728971967,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bacteroides_thetaiotaomicron",-0.102494264379807,0.49741903727492,0.141248141759015,-2.19595902085325,0.383946372557108,0.472663000872484,0.21493983614582,3.32788773595407,-0.266949427591121,1.05237565952219,0.657151993282384,-0.659865715158714,0.789508099339912,0.29262723152144,0.511083190179878,0.509340007451181,0.922454455463012,0.528354723580379,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_uniformis",0.207098289204102,0.0338197531689164,0.163557929991888,-0.977734332649487,0.273445167234086,0.338619029058956,0.152183715574172,2.35023173118394,0.757366792395393,0.0998755246062326,1.0747400231017,-0.416016139888023,0.448830145248372,0.920443147710041,0.282491139518697,0.677398192927704,0.781445342173504,0.939719443997162,0.740090112773586,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Bacteroides_vulgatus",0.34776809852801,-0.182598677309307,0.161149161407895,0.515468827388939,0.302264175714766,0.373600040538039,0.168540677090201,2.60498455837693,1.15054355252534,-0.488754436552893,0.95614402522929,0.197877882128449,0.249920066883195,0.625015559141272,0.338999474929254,0.84314060950749,0.64270896872997,0.78630989698418,0.74275165855286,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Bacteroides_xylanisolvens",-0.183835283677363,0.603191251445175,-0.0548507158292687,0.0546194718496808,0.403094407451803,0.49588343959142,0.225817569913241,3.49736847399671,-0.456060119611915,1.21639724839807,-0.242898353083608,0.0156173054843326,0.648346746989838,0.223833631654454,0.808084141421027,0.987539699586459,0.882770494466374,0.45466206429811,0.956251818025619,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Barnesiella_intestinihominis",-0.346505750759931,0.828399190410823,0.108909443216629,2.46123953646271,0.436033438461488,0.535830939315713,0.244528312650915,3.78888130579667,-0.794677013722964,1.54600850684124,0.44538582070906,0.649595312657912,0.426801406745753,0.122102513357658,0.656040957365633,0.515953661640168,0.756602493776562,0.309220650710952,0.882261977146885,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Coprobacter_fastidiosus",0.430604002573107,-0.312084187894816,-0.100166283752694,1.66314544006094,0.316472322858761,0.39083609898969,0.176609485016531,2.73068384663193,1.36063715993667,-0.798503998738991,-0.567162537976475,0.609058218919152,0.173628382247295,0.424578073574984,0.570603757368484,0.542485850147625,0.540225453443123,0.662341794776975,0.818145093285694,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Butyricimonas_synergistica",0.023148268576707,0.299483913875143,0.162748354355967,-0.0991127497897288,0.337405348419613,0.416224455409864,0.188499935982907,2.91593541824298,0.0686067031395089,0.719525030263383,0.863386788474693,-0.0339900359828443,0.945302683107936,0.471817485621474,0.387924840854569,0.972885096245265,0.98537664082758,0.698248987256357,0.779103199183644,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Butyricimonas_virosa",-0.22571277724612,0.653860307608212,0.255839976574715,1.93540249460506,0.35613118940305,0.438933034786023,0.19913789283024,3.08168134041398,-0.633791097107955,1.48965845764369,1.28473779117876,0.628034595668177,0.526217164105022,0.13631406286078,0.198883927509495,0.529981276973585,0.820898776003835,0.332265528223152,0.640305310333917,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Odoribacter_splanchnicus",-0.0998065980647613,0.479538809197773,0.0240343757256184,0.0481395969994027,0.41385473661575,0.508932779163732,0.231930114747156,3.59260333721129,-0.241163358140874,0.942243904952912,0.103627662806186,0.013399641563761,0.809428508810874,0.346067780252292,0.917464834100325,0.98930895280723,0.922454455463012,0.597196611939796,0.977015062277539,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Paraprevotella_xylaniphila",0.498817029157644,-0.407795365639505,-0.377809397080852,0.809476600000058,0.373115331222025,0.459528753871013,0.208786694682328,3.23201731515138,1.33689770271278,-0.887420780972436,-1.80954728775076,0.250455527018779,0.181256030817833,0.37485239934953,0.0703660206436948,0.802235093155444,0.552264468898084,0.630139809251365,0.438457257073327,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Prevotella_copri",1.03134556624583,-1.17942994985514,-0.177385961209238,-1.26828874757008,0.392904258048122,0.483525927450298,0.220028748410537,3.40717606831335,2.62492845297571,-2.43922793566509,-0.806194474543234,-0.372240448436209,0.00866671765167259,0.0147186810894961,0.420130724187603,0.709713832921854,0.112667329471744,0.0925852520145721,0.779103199183644,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Alistipes_finegoldii",-0.407858492399948,0.922350826907047,0.280590965275701,1.92458384129528,0.380694995540734,0.468720206032746,0.213092730294931,3.29910855454804,-1.0713523875475,1.96780683878307,1.31675522148198,0.583364811879899,0.284011012614532,0.0490902670245769,0.187920686896389,0.559647740643414,0.64270896872997,0.19145204139585,0.640305310333917,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Alistipes_indistinctus",-0.603063815609163,1.23544262645531,0.0798813847112199,-2.28485482196529,0.388531117006328,0.478222743362877,0.217544409284781,3.36846864655443,-1.552163492736,2.58340416385813,0.367195760046628,-0.678306691173287,0.120623108908895,0.00978306427565544,0.71347300176021,0.497577257041848,0.480030739535397,0.0829688544171621,0.933739834518395,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Alistipes_onderdonkii",0.180387154877085,0.073181056477097,-0.333877025803374,-1.10348990307432,0.279367399828593,0.345810793007627,0.155543523321688,2.40254916532515,0.645698656993487,0.211621666983317,-2.14651834209044,-0.45929961351071,0.51847453051802,0.832402204343046,0.0318316469897601,0.64601902527346,0.820787315700994,0.900700898682071,0.280832616975389,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Alistipes_putredinis",0.0516918870733562,0.269486117451341,0.298522148261383,-2.03479101396906,0.407072415901341,0.500707628632217,0.228077352950016,3.53257658188778,0.126984499696202,0.538210528542368,1.30886361315674,-0.576007615631559,0.898952666678639,0.590431712164355,0.190580554102826,0.564610034040518,0.957900382526419,0.762478038887743,0.640305310333917,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Alistipes_shahii",0.0604798519611212,0.232198935191201,0.0557676065410055,1.87936844636851,0.401621882777827,0.494097700931758,0.224981067727545,3.48433546848787,0.150589035494806,0.469945386819905,0.247876886283342,0.539376435870028,0.880299911160487,0.638394036487905,0.804229663979876,0.589627137087009,0.956770837576938,0.792495920568446,0.956251818025619,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Parabacteroides_distasonis",-0.417392313855617,0.944533967534613,0.161468283897105,0.565823084540397,0.362271628500683,0.44637922637414,0.202626310090409,3.13603362576029,-1.15215291791703,2.11598997383211,0.796877186506827,0.180426344887556,0.24925824099224,0.0343456603032522,0.425522361532746,0.856817873469021,0.64270896872997,0.152213721798504,0.779103199183644,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Parabacteroides_goldsteinii",-0.191830289244694,0.612693939481011,-0.209005787642554,0.387838695701582,0.371758298630275,0.45788315881483,0.208015756012683,3.22000549022605,-0.51600808899622,1.33810105850341,-1.00475940692594,0.120446594541165,0.605848759627645,0.180863495771423,0.315012714667732,0.904129382929148,0.857050507773135,0.387167088510117,0.740090112773586,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Parabacteroides_merdae",-0.240619297344512,0.671437703535776,0.116494027821691,2.61685191816588,0.407321314170619,0.501009473035623,0.228218743428999,3.5347794823297,-0.590735836729923,1.34016967676784,0.510448993239389,0.740315465575003,0.55469743225369,0.180190187567153,0.609736940446962,0.45910859892403,0.839440665682731,0.387167088510117,0.853563174532368,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Gemella_sanguinis",0.398597363599981,-0.247962736407503,-0.212264571472791,-1.13531304747143,0.267670072781103,0.331603622976173,0.148908462350682,2.29923826320933,1.48913682974917,-0.747768477865274,-1.42547017222503,-0.493777902724502,0.136451341191857,0.454599818634018,0.154021336314783,0.621463040626246,0.503025478567272,0.698007595540421,0.581930464763091,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Enterococcus_faecium",-0.289264400953886,0.766803989404202,-0.318959077375235,-1.3620057910202,0.285422897656646,0.353162334947746,0.158979888284114,2.45606516131098,-1.01345898779944,2.1712507635268,-2.00628570580715,-0.554547905517781,0.310840976115181,0.0299122219534344,0.0448257742150652,0.579203929850929,0.656666836197005,0.138878173355231,0.364209415497405,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Lactobacillus_fermentum",-0.563793144324374,1.15248133138374,-0.114270439523469,1.76547345208988,0.334382870099236,0.412558955081006,0.186782975176604,2.88918460867096,-1.68607065355069,2.79349488646404,-0.611781879025249,0.611062874553389,0.0917821916098062,0.0052141853391143,0.540682080473589,0.54115795658476,0.426131603902672,0.0677844094084859,0.804832104521755,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Lactobacillus_rhamnosus",-0.3855441290532,0.896183076935664,0.00943358563679346,0.760066111084743,0.314184132088505,0.388060543442076,0.175309896954655,2.71043748869936,-1.22712794720197,2.30938984156073,0.0538109131353465,0.280421929763623,0.219774505290183,0.0209219582226889,0.957085814693964,0.779153814194505,0.621101862776604,0.115068212374216,0.977062584389616,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Lactobacillus_salivarius",-0.439999601015414,0.978773330474903,-0.204710905128338,0.322033710019507,0.294816944332381,0.364563696840291,0.16431231928679,2.53911960571083,-1.49245017789531,2.68478002323881,-1.24586461938399,0.1268288856087,0.135581169053145,0.00725775571308909,0.212814101159781,0.899075832936961,0.503025478567272,0.0792698157820273,0.648844939405372,0.999792517773655,FALSE,FALSE,FALSE,FALSE
"Lactococcus_lactis",0.0151778391215129,0.331518214499872,0.347616636967407,-3.3666271341614,0.333778501720813,0.411826000820941,0.186439659082527,2.88383565631369,0.0454727882211188,0.804995832800788,1.86449942398541,-1.16741296501786,0.963730464308896,0.420822084527592,0.0622516023893082,0.243043637823042,0.98537664082758,0.66177666518452,0.418588360893624,0.99099372334903,FALSE,FALSE,FALSE,FALSE
"Streptococcus_anginosus_group",-0.355701314706502,0.847112022278843,0.0382597529590808,1.60009097382856,0.304776317286528,0.376647875152375,0.169967172965516,2.62720611452022,-1.16708974592701,2.24908217505844,0.225100837364891,0.609046608480799,0.243174128421103,0.0245072683910357,0.821900829573999,0.542493545686373,0.64270896872997,0.125441004031658,0.956251818025619,0.99099372334903,FALSE,FALSE,FALSE,FALSE
